reg_i,reg_u,k,train_rmse,test_rmse
20,30,10,0.6325028199401522,1.8678175413803288
20,30,20,0.7871866672850013,1.8307652595636477
20,30,40,0.9547882471191248,1.8195553817197851
40,60,10,0.5932315211619511,1.886537378301072
40,60,20,0.7584223250685422,1.8492512325305037
40,60,40,0.9375719352118206,1.8408900153095695
20,30,10,0.632321511610768,1.8668293095975506
20,30,20,0.7867676282743753,1.832037470227693
20,30,40,0.9551845460672878,1.8190760326405113
40,60,10,0.5931869584928325,1.8872936227687809
40,60,20,0.7582174772596845,1.8500235255765334
40,60,40,0.9371414763963227,1.8391797428096643
