reg,learning_rate,k,train_rmse,test_rmse
0.02,0.005,10,0.7539542804670578,1.8436005625435499
0.02,0.005,20,0.8846333672968667,1.8083921629309385
0.02,0.005,40,1.0269440883210033,1.79726115475908
0.05,0.005,10,0.7432772756702056,1.8447630346142205
0.05,0.005,20,0.8761466607376932,1.8072401061101282
0.05,0.005,40,1.0208129543433377,1.7987945415637645
0.1,0.005,10,0.7285271207020849,1.8431961983743361
0.1,0.005,20,0.8634746859222249,1.809698283774977
0.1,0.005,40,1.0106335369354171,1.796834861892371
0.02,0.01,10,0.798293465270131,1.842209471065565
0.02,0.01,20,0.9230779948179971,1.8086128370480743
0.02,0.01,40,1.0580709227115521,1.7971474727324275
0.05,0.01,10,0.7873196719597818,1.8421826467775937
0.05,0.01,20,0.9125753695931739,1.8098416532038841
0.05,0.01,40,1.050508627393609,1.798136602786509
0.1,0.01,10,0.7688340822955517,1.8443671731341844
0.1,0.01,20,0.8970168749021897,1.8076993061455158
0.1,0.01,40,1.0390123448453816,1.796237598447479
